READ1	READ2	READ3	READ4
0	0	0	0
0	0	0	0
0	1	2	1
0	1	0	0
283	405	202	209
0	0	0	0
4	5	19	11
0	0	0	0
8	25	34	37
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
1	1	3	7
404	613	458	387
0	0	0	0
0	0	1	0
5	1	2	0
0	0	0	0
0	0	0	0
32	43	216	174
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	0	1	2
0	1	0	0
0	0	0	0
7	9	10	3
0	0	0	0
0	2	2	2
0	0	0	0
0	0	0	0
0	1	0	0
2396	3639	2230	2088
0	1	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
0	0	0	0
1	0	0	0
0	0	0	0
0	0	1	0
0	0	0	0
1	0	6	11
0	0	0	0
629	991	1256	1254
1	1	0	0
0	0	0	0
0	0	0	0
11	23	32	32
3	5	2	1
268	430	314	301
0	1	0	0
0	0	0	0
885	1301	1127	1019
4	3	3	4
91	102	491	445
87	139	67	78
4908	7016	5575	5162
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	3	1	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
667	1025	211	185
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
14497	21302	10508	9391
0	0	1	0
0	1	0	0
1	1	0	0
8	17	32	28
0	0	0	0
3	5	9	8
0	0	0	0
9	9	21	19
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
6	9	2	2
0	0	0	0
0	0	0	0
1	5	8	3
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	1	1	1
204	310	81	89
0	0	0	0
525	700	231	224
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
221	389	326	300
0	0	0	0
11	16	5	0
0	0	0	0
0	0	0	0
0	0	0	0
1	1	0	0
0	0	0	0
0	0	3	1
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	1
0	1	2	1
1	0	0	0
2	6	7	3
0	1	1	0
0	0	0	0
2	0	1	1
0	0	2	2
0	0	0	0
0	0	0	0
8	12	20	14
29	42	38	27
10	21	8	2
0	0	0	0
49	77	69	58
0	0	0	0
0	0	0	0
